lambda,gamma,accuracy,AUC,MSE,DPD,EOD,consistency,generalized_entropy_error
1.0,0.0001,0.8198968312453943,0.8552189382664779,0.12575805980571084,0.14707032469485176,0.13173163699499044,0.9836109064112011,0.10460322303216853
1.0,0.0112,0.8098747236551216,0.8313028739428604,0.14027829385464793,0.1295890253110591,0.11798774486786029,0.9841709653647751,0.1129324848939699
1.0,0.013666666666666667,0.7927781871775976,0.8285963314734971,0.14198197584839994,0.08676722098318465,0.08665496007814977,0.9858511422254974,0.128110977776786
1.0,0.016133333333333333,0.7811348563006633,0.8277856806020153,0.14377020437508803,0.059817050553971934,0.06326240258003746,0.9860280029476787,0.13902339663539828
1.0,0.0186,0.7803979366249079,0.8258021281694424,0.14527253505934026,0.05985338852669644,0.06242774854816327,0.9855858511422255,0.13953912736459062
1.0,0.021066666666666664,0.7790714812085483,0.8245248139384638,0.14668992888729046,0.05834158673133929,0.056620373684494005,0.9859690493736183,0.1406739530008104
1.0,0.0223,0.7771554900515844,0.8240750160274097,0.14740347648690202,0.05012048418836828,0.05035681493773667,0.9876787030213706,0.14258701215620365
1.0,0.02353333333333333,0.7770081061164333,0.8232246039328394,0.14801679754985483,0.05171810728976367,0.0531205068096942,0.988297715549005,0.14265951607917773
1.0,0.026,0.7753868828297715,0.8219046450647254,0.1492233809539206,0.04906134350174977,0.05207456075269435,0.9897715549005159,0.14405123827133715
1.0,0.028466666666666668,0.7750921149594694,0.820685731103213,0.15039066447395746,0.047279248858339604,0.04962578497474973,0.9903316138540899,0.14433829323792857
1.0,0.030933333333333334,0.7703758290346352,0.8192142666411414,0.1515625098125376,0.032205699196840125,0.0361024391733773,0.9913633014001475,0.14878032533666322
1.0,0.0334,0.7671333824613117,0.8184234581214053,0.1524739929121757,0.03148425430110447,0.04986810265039017,0.9929255711127487,0.15151508983538148
1.0,0.033400000000000006,0.7671333824613117,0.8184234581214053,0.15247399290974809,0.03148425430110447,0.04986810265039017,0.9929255711127487,0.15151508983538148
1.0,0.044500000000000005,0.759027266028003,0.81564897580045,0.1568225660762914,0.011929804391970972,0.02853640924826133,0.9964627855563744,0.1588823709933766
1.0,0.055600000000000004,0.7563743551952837,0.8114375446293455,0.16055288250291994,0.00401629217478733,0.009574006244949935,0.9980250552689758,0.1612466348619884
1.0,0.06670000000000001,0.7565217391304347,0.8050309857006314,0.16279286015960254,0.0017780966427622022,0.005072808488041052,0.9987324981577009,0.16112416543599686
1.0,0.07780000000000001,0.7560795873249816,0.8039773011792907,0.16621943564141434,0.0011106048593072517,0.0030371095647440524,0.9991156963890936,0.16152649322871207
1.0,0.0889,0.7557848194546795,0.7945157973466273,0.16868237962577723,0.00021849926050368203,0.0007691173969729606,0.9998820928518791,0.16177569948285725
1.0,0.1,0.7557848194546795,0.7939695842662834,0.17000701712903796,0.00021849926050368203,0.0007691173969729606,0.9998820928518791,0.16177569948285725
